UniqueCarrier,Origin,Dest,Month,DayofMonth,FlightNum,CRSDepTime,DepDelay,Distance,CRSArrTime,Diverted,Cancelled,RouteType
SFR,FAOR,FAWO,1,1,258,0537,0,3751,0651,0,0,Domestic
IBE,LEMD,LEVT,1,1,04ZV,0654,0,6273,0720,0,0,Domestic
AEA,LEMD,LELM,1,1,4063,0639,0,6310,0714,0,0,Domestic
VLG,LEBL,LELN,1,1,97JV,0630,0,1827,0727,0,0,Domestic
VLG,LEBL,LEGR,1,1,60UU,0650,0,1772,0742,0,0,Domestic
VLG,LEBL,LEGY,1,1,38XF,0610,0,1712,0645,0,0,Domestic
VLG,LEBL,LPPR,1,1,8474,0622,0,1725,0745,0,0,International
VLG,LFPO,LIMC,1,1,8432,0542,0,2131,0649,0,0,International
IBE,LEMD,LEMR,1,1,04FD,0701,0,5435,0733,0,0,Domestic
AFR,EDDN,LFPG,1,1,28UU,0526,0,778,0642,0,0,International
CMA,LFPG,VMMC,12,31,612,1941,0,1964,0707,0,0,International
TVF,LFHC,DA14,1,1,7312,0512,0,2960,0642,0,0,International
SHT,EGPF,EGLL,1,1,7Y,0619,0,633,0730,0,0,Domestic
SHT,EGPF,EGLL,1,1,7S,0614,0,1178,0723,0,0,Domestic
KLM,EHAM,ZGSD,12,31,887,2056,0,1942,0806,0,0,International
SWR,LSZH,LIMC,1,1,1DL,0705,0,1507,0738,0,0,International
SWR,LSGG,EBBR,1,1,585E,0617,0,281,0717,0,0,International
THY,LTBA,OLRA,1,1,8FR,0549,0,9953,0657,0,0,International
ITY,LIML,LICR,1,1,1746,0619,0,487,0737,0,0,Domestic
ITY,LIRF,LIML,1,1,2010,0610,0,262,0657,0,0,Domestic
ITY,LIML,EDDS,1,1,444,0614,0,287,0656,0,0,International
WZZ,LBSF,LIAP,1,1,4369,0553,0,325,0658,0,0,International
RYR,LEBL,GMFI,1,1,4AC,0534,0,1717,0653,0,0,International
RYR,LIRF,LICR,1,1,1HT,0638,0,75,0722,0,0,Domestic
RYR,LFOB,GEML,1,1,4543,0516,0,5238,0717,0,0,International
ANE,LEMG,GMFO,1,1,64RQ,0625,0,6663,0649,0,0,International
RYR,LFML,GMMN,1,1,1PR,0453,0,3674,0648,0,0,International
UBG,VGTJ,VGJR,1,1,121,0628,0,21726,0650,0,0,Domestic
UBG,VGEG,VGZR,1,1,106,0625,0,539,0659,0,0,Domestic
KTC,WMAC,WMKK,1,1,169,0624,0,10990,0642,0,0,Domestic
ABL,RKSS,RKD1,1,1,8817,0648,0,2401,0716,0,0,Domestic
ELY,LLBG,LGTP,1,1,541,0509,0,1241,0652,0,0,International
AIZ,LLBG,LLEY,1,1,803,0636,0,984,0655,0,0,Domestic
ICL,LLBG,VMMC,12,31,851,2137,0,595,0656,0,0,International
AXM,WMKK,WMAJ,1,1,9310,0644,0,5755,0700,0,0,Domestic
MAS,WBKK,WMKK,1,1,2611,0508,0,1034,0709,0,0,International
MAS,WMKK,WMKK,1,1,2513,0323,0,29309,0657,0,0,Domestic
AXM,WMKK,WMKK,1,1,5232,0325,0,6629,0654,0,0,Domestic
AXM,WSSS,WMAJ,1,1,1314,0616,0,462,0655,0,0,International
AXM,WMKK,WMAJ,1,1,6318,0628,0,21249,0643,0,0,Domestic
APG,RPLL,RPVL,1,1,223,0624,0,2128,0650,0,0,Domestic
CCA,ZBAA,ZGGG,1,1,1907,0409,0,29602,0656,0,0,International
HKC,EGSS,ZGSD,12,31,365,2026,0,1074,0819,0,0,International
CES,ZSAM,ZSAM,1,1,2879,0648,0,16588,0659,0,0,Domestic
CPA,EGLL,VMMC,12,31,256,2021,0,1291,0751,0,0,International
CPA,VHHH,VMMC,12,31,335,2345,0,698,0700,0,0,International
LBD,YPJT,YLEA,1,1,,0710,0,692,0752,0,0,International
QLK,YKEL,YSSY,1,1,31D,0613,0,15594,0658,0,0,International
NWK,YPPH,YMMI,1,1,2720,0635,0,2889,0726,0,0,International
VOZ,YBBN,YMUA,1,1,1717,0702,0,2049,0733,0,0,International
QLK,YSSY,YARM,1,1,34D,0800,0,2573,0839,0,0,International
NWK,YPPH,YYAL,1,1,2958,0610,0,760,0642,0,0,International
VOZ,YSCB,YSSY,1,1,663,0638,0,239,0721,0,0,Domestic
AM3,YMEN,YLLR,1,1,96,0656,0,864,0731,0,0,International
IGO,VECC,VEKM,1,1,2513,0647,0,736,0717,0,0,Domestic
IGO,VIDP,VIPT,1,1,7324,0625,0,315,0654,0,0,Domestic
AIC,VOMM,VOTR,1,1,671,0620,0,86,0650,0,0,Domestic
IGO,OMDB,VEPU,12,31,149,1856,0,756,0706,0,0,International
IGO,VOMM,VOTR,1,1,911Q,0629,0,440,0708,0,0,Domestic
IGO,VOMM,VOTR,1,1,7124,0633,0,447,0710,0,0,Domestic
IGO,VEGY,VECC,1,1,507,0722,0,14860,0800,0,0,Domestic
IGO,VOBL,VGCM,1,1,524,0523,0,2851,0723,0,0,International
JAL,RJTT,RJOI,1,1,667,0541,0,3828,0651,0,0,Domestic
JAL,RJTT,RJDM,1,1,611,0537,0,1403,0707,0,0,Domestic
ANA,RJTT,RJTQ,1,1,1895,0656,0,1074,0733,0,0,Domestic
SNJ,RJTT,RJOI,1,1,95,0549,0,3749,0657,0,0,Domestic
AIQ,VTBD,VTSE,1,1,3231,0629,0,1310,0702,0,0,Domestic
TLM,VTBD,VTPN,1,1,556,0651,0,2043,0710,0,0,Domestic
THA,VTBS,VTCP,1,1,132,0602,0,2303,0642,0,0,Domestic
VJC,RJAA,VVNS,1,1,933,0045,0,1052,0701,0,0,International
UAE,OMDW,OMDW,1,1,2556,0715,0,4000,0741,0,0,Domestic
N1S,LSGG,LSTA,1,1,F,0659,0,587,0722,0,0,Domestic
N40,19AZ,KSDL,1,1,7MA,0633,0,23431,0703,0,0,International
N46,KAUN,KTRK,1,1,4TT,0726,0,3227,0741,0,0,International
UAL,KIAD,EHAM,1,1,946,0024,0,1092,0721,0,0,International
CTF,KPHX,KBUR,1,1,684,0548,0,650,0655,0,0,International
UAL,KORD,EHAM,1,1,909,0028,0,3408,0802,0,0,International
N71,3KS7,K33K,1,1,NX,0639,0,63577,0709,0,0,International
CBC,KGEU,KAZC,1,1,863,0548,0,202,0646,0,0,International
LBQ,KTEB,KRDG,1,1,799,0802,0,408,0835,0,0,International
LBQ,KBWI,KTEB,1,1,795,0749,0,1712,0823,0,0,International
N90,KBOI,KU70,1,1,0AC,0632,0,2226,0649,0,0,International
N97,88AZ,KSDL,1,1,0AE,0652,0,32194,0719,0,0,International
SDA,NZPN,NZPN,1,1,378,0642,0,16490,0646,0,0,Domestic
